<<<<<<< HEAD
<<<<<<< HEAD
<<<<<<< HEAD
<<<<<<< HEAD
<<<<<<< HEAD
<<<<<<< HEAD
<<<<<<< HEAD
<<<<<<< HEAD
<<<<<<< HEAD
<<<<<<< HEAD
<<<<<<< HEAD
<<<<<<< HEAD
<<<<<<< HEAD
<<<<<<< HEAD
<<<<<<< HEAD
<<<<<<< HEAD
<<<<<<< HEAD
<<<<<<< HEAD
<<<<<<< HEAD
<<<<<<< HEAD
"id","name","code","account_type","reconcile","name@zh_CN"
"l10n_cn_large_bis_100200","Bank Savings","100200","asset_cash","False","银行存款"
"l10n_cn_large_bis_100201","Bank Suspense Account","100201","asset_cash","False","银行暂记账户"
"l10n_cn_large_bis_100202","Outstanding Receipts","100202","asset_cash","False","未结收据"
"l10n_cn_large_bis_100203","Outstanding Payments","100203","asset_cash","False","未付款"
"l10n_cn_large_bis_100204","Bank","100204","asset_cash","False","银行"
"l10n_cn_large_bis_100300","Transfer Account","100300","asset_cash","False","转让帐户"
"l10n_cn_large_bis_110100","Tradable Financial Assets","110100","asset_current","False","交易性金融资产"
"l10n_cn_large_bis_101500","Other Monetary Funds","101500","asset_current","False","其他货币资金"
"l10n_cn_large_bis_112100","Notes Receivable","112100","asset_receivable","True","应收票据"
"l10n_cn_large_bis_112300","Prepayments to Supplier","112300","asset_prepayments","False","预付账款"
"l10n_cn_large_bis_113100","Dividend Receivable","113100","asset_receivable","True","应收股利"
"l10n_cn_large_bis_113101","Shares in subsidiary companies","113101","asset_receivable","True","应收子公司股利"
"l10n_cn_large_bis_113200","Interest Receivable","113200","asset_receivable","True","应收利息"
"l10n_cn_large_bis_122100","Other Receivable","122100","asset_receivable","True","其它应收款"
"l10n_cn_large_bis_123100","Provision for Bad Debts","123100","asset_current","False","坏账准备"
"l10n_cn_large_bis_130301","Employees' Loan / Cash Advance","130301","asset_current","False","员工借款"
"l10n_cn_large_bis_130302","Intercompany Loan","130302","asset_current","False","集团内部借款"
"l10n_cn_large_bis_130303","Other Loans","130303","asset_current","False","其他借款"
"l10n_cn_large_bis_140100","Purchase of Material","140100","asset_current","False","材料采购"
"l10n_cn_large_bis_140700","Goods shipped in transit","140700","asset_current","False","发出商品"
"l10n_cn_large_bis_140800","Consigned processing materials","140800","asset_current","False","委托加工物资"
"l10n_cn_large_bis_141100","Working Materials","141100","asset_current","False","周转材料"
"l10n_cn_large_bis_142100","Consumable Biological Assets","142100","asset_current","False","消耗性生物资产"
"l10n_cn_large_bis_143100","Precious Metal","143100","asset_current","False","贵金属"
"l10n_cn_large_bis_144100","Foreclosed Assets","144100","asset_current","False","抵债资产"
"l10n_cn_large_bis_145100","Surplus Materials","145100","asset_current","False","损余物资"
"l10n_cn_large_bis_146100","Provision for Stock Impairement","146100","asset_current","False","存货跌价准备"
"l10n_cn_large_bis_147100","Deferred Expenses","147100","liability_current","False","待摊费用"
"l10n_cn_large_bis_153100","Long-term receivables","153100","asset_non_current","False","长期应收款"
"l10n_cn_large_bis_153200","Unrealised financial income","153200","asset_non_current","False","未实现融资收益"
"l10n_cn_large_bis_154100","Deposited capital guarantee","154100","asset_non_current","False","存出资本保证金"
"l10n_cn_large_bis_160200","Tangible Assets Depreciation","160200","asset_fixed","False","累计折旧"
"l10n_cn_large_bis_160300","Provision for Fixed Assets Impairment","160300","asset_fixed","False","固定资产减值准备"
"l10n_cn_large_bis_160500","Construction Materials","160500","asset_non_current","False","工程物资"
"l10n_cn_large_bis_161100","Unguaranteed residual value","161100","asset_non_current","False","未担保余值"
"l10n_cn_large_bis_162100","Productive Biological Assets","162100","asset_non_current","False","生产性生物资产"
"l10n_cn_large_bis_162200","Accumulated depreciation of productive biological assets","162200","asset_non_current","False","生产性生物资产累计折旧"
"l10n_cn_large_bis_162300","Public Welfare Biological Assets","162300","asset_non_current","False","公益性生物资产"
"l10n_cn_large_bis_163100","Oil and Gas Assets","163100","asset_non_current","False","油气资产"
"l10n_cn_large_bis_163200","Cumulative Depreciation","163200","asset_non_current","False","累计折耗"
"l10n_cn_large_bis_180100","Long-term Deferred and Prepaid Expense","180100","asset_non_current","False","长期待摊费用"
"l10n_cn_large_bis_181100","Deferred Tax Assets","181100","asset_non_current","False","递延所得资产"
"l10n_cn_large_bis_182100","Separate Account Assets","182100","asset_non_current","False","独立账户资产"
"l10n_cn_large_bis_190100","Pending Property Gains / Losses","190100","asset_non_current","False","待处理财产损溢"
"l10n_cn_large_bis_200100","Short-Term Loans","200100","liability_current","False","短期借款"
"l10n_cn_large_bis_200200","Deposit Margin","200200","liability_current","False","存入保证金"
"l10n_cn_large_bis_200300","Borrowing Funds","200300","liability_current","False","拆入资金"
"l10n_cn_large_bis_200400","Borrowing from Central Bank","200400","liability_current","False","向中央银行借款"
"l10n_cn_large_bis_201100","Interbank Deposit","201100","liability_current","False","同业存放"
"l10n_cn_large_bis_201200","Take Deposit","201200","liability_current","False","吸收存款"
"l10n_cn_large_bis_202100","Discounted liabilities","202100","liability_current","False","贴现负债"
"l10n_cn_large_bis_210100","Financial Trading Liabilities","210100","liability_current","False","交易性金融负债"
"l10n_cn_large_bis_211100","Dedicated Repurchase of Financial Assets","211100","liability_current","False","专出回购金融资产款"
"l10n_cn_large_bis_220100","Notes Payable","220100","liability_payable","True","应付票据"
"l10n_cn_large_bis_220300","Advance from Customers","220300","liability_current","False","预收账款"
"l10n_cn_large_bis_221100","Payroll payable","221100","liability_current","False","应付职工薪酬"
"l10n_cn_large_bis_222100","Tax Payable","222100","liability_current","False","应交税费"
"l10n_cn_large_bis_223100","Interest Payable","223100","liability_payable","True","应付利息"
"l10n_cn_large_bis_223200","Dividend Payable","223200","liability_payable","True","应付股利"
"l10n_cn_large_bis_224100","Other Payables","224100","liability_payable","True","其他应付款"
"l10n_cn_large_bis_225100","Protection Bonus Payable","225100","liability_payable","True","应付保护红利"
